,Review,Departments
443,stopped working worked fine like week stopped working pad not recognize can help please,Customer Service
444,not working properly ,Product Quality
445,overall good experience price ,Sales
446,see image pencil nothing connect no battery papers pad air th gen supposed easy,General
447,using two three times started stuck ,General
448,good problem wire came socket later caused big problem audit pretty good head set audit completely disappeared sad moment,Technical Support
449,ordered purple colour seller sent pink hate mug seller wrong colour never reply not buy kind people,"Customer Service, Sales"
450,not overlay impressed given price right ,Sales
451,much costly ,Sales
452,received parcel nice small well working good thanks dark,Shipping
453,red less stay even turn lights remote red less stay even switch green blue,General
454,good product job edges rough not look neat ,Product Quality
455,quality company okay,Product Quality
456,poor quality not recommend ,Product Quality
457,a product not working ,Product Quality
458,bought son pad not work purchase another different pen compatible pad ,Sales
459,no recommended bad experience,General
460,recommended beginners not body builders provide maximum weight les g not good according ,Product Quality
461,average product ,Product Quality
462,good flow rate slow can used pouring water glass pouring water jug bucket takes time good feature can fit many different size bottles ,"Shipping, Sales"
463,package broken band new ,"Product Quality, Shipping"
464,not connecting nor even showing fuel ave,General
465,stuff quality ok daughter happy ,Product Quality
466,bad can even drag click caps total scar,General
467,not good defective not work horrible product,Product Quality
468,changing delivery guns charged extra money swing option not properly working one month use started giving burning like smell not know whether cover fix warranty call helping tomorrow,"Customer Service, Shipping"
469,receive parcel product happy thank dark ,"Product Quality, Shipping"
470,normal quality ,Product Quality
471,yes time use mention pack good product easy useful ,Product Quality
472,package little bit smashed us cover pips everytime pull ,Shipping
473,good issue ordered silver received golden,"Shipping, Technical Support, Sales"
474,lost stars carelessness send damaged piece can see pick,"Customer Service, Product Quality, Shipping"
475,sent used underwear full dirt threw basket ,General
476,can get work ,General
